Location,Sex,year,age,px
Argentina,Male,1953,11,0.99913712
Argentina,Male,1953,12,0.99906389
Argentina,Male,1953,13,0.99895399
Argentina,Male,1953,14,0.99881042
Argentina,Male,1953,15,0.99863935
Argentina,Male,1953,16,0.99845104
Argentina,Male,1953,17,0.99826126
Argentina,Male,1953,18,0.99808436
Argentina,Male,1953,19,0.99793285
Argentina,Male,1953,20,0.99780954
Argentina,Male,1953,21,0.99770977
Argentina,Male,1953,22,0.99762643
Argentina,Male,1953,23,0.99755111
Argentina,Male,1953,24,0.99747971
Argentina,Male,1953,25,0.99741116
Argentina,Male,1953,26,0.9973461
Argentina,Male,1953,27,0.99728616
Argentina,Male,1953,28,0.99722962
Argentina,Male,1953,29,0.99717182
Argentina,Male,1953,30,0.99710512
Argentina,Male,1953,31,0.99701912
Argentina,Male,1953,32,0.99690496
Argentina,Male,1953,33,0.99675505
Argentina,Male,1953,34,0.99656511
Argentina,Male,1953,35,0.99633504
Argentina,Male,1953,36,0.99606633
Argentina,Male,1953,37,0.99576289
Argentina,Male,1953,38,0.99542698
Argentina,Male,1953,39,0.99505739
Argentina,Male,1953,40,0.99464991
Argentina,Male,1953,41,0.99419528
Argentina,Male,1953,42,0.99368433
Argentina,Male,1953,43,0.99311042
Argentina,Male,1953,44,0.99247125
Argentina,Male,1953,45,0.99177432
Argentina,Male,1953,46,0.99103097
Argentina,Male,1953,47,0.99025427
Argentina,Male,1953,48,0.98945306
Argentina,Male,1953,49,0.98861883
Argentina,Male,1953,50,0.98773291
Argentina,Male,1953,51,0.98676029
Argentina,Male,1953,52,0.98566503
Argentina,Male,1953,53,0.98443286
Argentina,Male,1953,54,0.98306711
Argentina,Male,1953,55,0.98162017
Argentina,Male,1953,56,0.9801661
Argentina,Male,1953,57,0.97877258
Argentina,Male,1953,58,0.97749095
Argentina,Male,1953,59,0.97628339
Argentina,Male,1953,60,0.97506469
Argentina,Male,1953,61,0.97368676
Argentina,Male,1953,62,0.97197337
Argentina,Male,1953,63,0.96979073
Argentina,Male,1953,64,0.96701199
Argentina,Male,1953,65,0.96358783
Argentina,Male,1953,66,0.95951082
Argentina,Male,1953,67,0.95480826
Argentina,Male,1953,68,0.94954671
Argentina,Male,1953,69,0.94377511
Argentina,Male,1953,70,0.93753787
Argentina,Male,1953,71,0.93081453
Argentina,Male,1953,72,0.92352226
Argentina,Male,1953,73,0.91544408
Argentina,Male,1953,74,0.90622269
Argentina,Male,1953,75,0.89534566
Argentina,Male,1953,76,0.88213282
Argentina,Male,1953,77,0.86610576
Argentina,Male,1953,78,0.84706065
Argentina,Male,1953,79,0.82559109
Argentina,Male,1953,80,0.80333701
Argentina,Male,1953,81,0.78613124
Argentina,Male,1953,82,0.76985278
Argentina,Male,1953,83,0.75411623
Argentina,Male,1953,84,0.7385629
Argentina,Male,1953,85,0.72285882
Argentina,Male,1953,86,0.70669406
Argentina,Male,1953,87,0.68978328
Argentina,Male,1953,88,0.67186719
Argentina,Male,1953,89,0.65271467
Argentina,Male,1953,90,0.63212537
Argentina,Male,1953,91,0.6083314
Argentina,Male,1953,92,0.58427451
Argentina,Male,1953,93,0.56037157
Argentina,Male,1953,94,0.53669344
Argentina,Male,1953,95,0.52559636
Argentina,Male,1953,96,0.50843065
Argentina,Male,1953,97,0.49228403
Argentina,Male,1953,98,0.47719063
Argentina,Male,1953,99,0.46316395
Argentina,Male,1953,100,0
Argentina,Male,1954,0,0.92574444
Argentina,Male,1954,1,0.99325326
Argentina,Male,1954,2,0.99541758
Argentina,Male,1954,3,0.99685682
Argentina,Male,1954,4,0.99779828
Argentina,Male,1954,5,0.99840581
Argentina,Male,1954,6,0.99879232
Argentina,Male,1954,7,0.99903273
