1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
155.622,155.439,154.656,154.342,154.393,155.568,156.863,157.953,159.186,160.977,163.621,166.703,170.237,174.222,178.509,183.177,188.134,193.528,199.205,202.884,203.853,208.983,212.445,215.456,218.316,220.219,221.683,223.44,223.873,222.642,226.852,228.215,229.283,232.561,235.023,236.361,234.965,235.938,240.867,247.163,254.375,260.412,268.373,274.689,282.277,291.215,298.424,306.949,315.087,319.327,322.386,323.637,323.569,323.026,321.169,321.985,320.624,323.36,325.669,330.924,332.996,339.351,342.057,344.507,347.707,349.722,347.248,343.191,339.771,339.658,342.871,341.498,338.668,338.052
157.039,156.489,156.195,155.316,154.875,154.852,155.916,157.143,158.158,159.382,161.155,163.784,166.916,170.546,174.558,178.87,183.566,188.563,193.98,199.698,203.382,204.269,209.5,212.98,216.05,218.79,219.89,221.245,222.925,223.369,222.248,226.7,228.35,229.696,233.308,235.8,237.113,235.559,236.581,241.448,247.528,254.516,260.087,268.055,274.311,281.878,290.8,297.999,306.507,314.66,318.904,321.936,323.175,322.951,322.415,320.583,321.394,320.067,322.836,325.245,330.579,332.721,339.163,341.913,344.419,347.635,349.653,347.17,343.106,339.686,339.601,342.719,341.318,338.596
156.234,157.91,157.251,156.855,155.85,155.327,155.195,156.195,157.348,158.35,159.561,161.317,163.975,167.203,170.867,174.901,179.237,183.973,188.993,194.448,200.166,203.773,204.75,209.995,213.53,216.483,218.452,219.438,220.713,222.405,222.962,222.098,226.849,228.784,230.477,234.119,236.586,237.733,236.233,237.192,241.835,247.68,254.183,259.765,267.675,273.909,281.462,290.372,297.547,306.079,314.234,318.452,321.476,322.538,322.321,321.808,319.976,320.82,319.527,322.404,324.899,330.299,332.538,339.031,341.833,344.355,347.572,349.579,347.088,343.021,339.63,339.449,342.531,341.245
153.769,157.089,158.656,157.894,157.374,156.285,155.655,155.464,156.393,157.53,158.523,159.715,161.481,164.231,167.497,171.181,175.236,179.61,184.367,189.422,194.876,200.52,204.18,205.175,210.467,213.892,216.139,217.988,218.891,220.182,221.989,222.807,222.254,227.289,229.579,231.301,234.918,237.216,238.415,236.853,237.586,241.99,247.342,253.854,259.384,267.268,273.488,281.031,289.91,297.116,305.65,313.775,317.988,320.83,321.898,321.703,321.191,319.393,320.27,319.092,322.056,324.62,330.118,332.417,338.956,341.773,344.296,347.5,349.497,347.003,342.961,339.475,339.254,342.454
150.533,154.598,157.808,159.271,158.388,157.785,156.592,155.907,155.648,156.562,157.692,158.665,159.843,161.697,164.486,167.769,171.471,175.563,179.953,184.742,189.794,195.179,200.838,204.51,205.55,210.74,213.542,215.667,217.429,218.351,219.76,221.827,222.956,222.691,228.079,230.394,232.095,235.542,237.892,239.027,237.24,237.739,241.645,247.011,253.478,258.978,266.846,273.059,280.568,289.482,296.69,305.194,313.316,317.342,320.19,321.275,321.086,320.605,318.839,319.832,318.742,321.778,324.439,330.001,332.344,338.895,341.714,344.222,347.416,349.41,346.934,342.798,339.27,339.173
148.376,151.325,155.282,158.388,159.731,158.771,158.065,156.823,156.071,155.802,156.708,157.818,158.763,160.027,161.918,164.723,168.019,171.759,175.864,180.283,185.067,190.053,195.41,201.077,204.784,205.738,210.384,213.064,215.096,216.881,217.921,219.589,221.962,223.374,223.461,228.87,231.164,232.699,236.195,238.482,239.396,237.381,237.387,241.313,246.645,253.076,258.563,266.423,272.603,280.149,289.063,296.243,304.742,312.676,316.71,319.569,320.663,320.5,320.049,318.402,319.476,318.466,321.593,324.323,329.922,332.28,338.832,341.634,344.133,347.328,349.332,346.758,342.578,339.18
145.559,149.102,151.952,155.81,158.799,160.071,159.014,158.261,156.954,156.196,155.922,156.811,157.884,158.908,160.208,162.112,164.929,168.262,172.01,176.145,180.556,185.274,190.193,195.556,201.249,204.879,205.379,209.904,212.487,214.542,216.443,217.738,219.705,222.353,224.107,224.217,229.601,231.734,233.319,236.755,238.826,239.521,237.019,237.056,240.957,246.249,252.668,258.148,265.978,272.193,279.74,288.625,295.799,304.115,312.054,316.095,318.965,320.08,319.946,319.613,318.041,319.2,318.277,321.472,324.236,329.849,332.212,338.742,341.535,344.041,347.237,349.141,346.522,342.473
142.533,146.21,149.657,152.42,156.168,159.093,160.268,159.17,158.353,157.045,156.284,155.997,156.843,157.988,159.042,160.354,162.27,165.121,168.46,172.234,176.359,180.706,185.332,190.255,195.639,201.263,204.511,204.9,209.325,211.93,214.1,216.246,217.828,220.063,223.039,224.812,224.902,230.13,232.311,233.839,237.069,238.932,239.149,236.688,236.711,240.57,245.85,252.262,257.718,265.579,271.796,279.315,288.191,295.188,303.509,311.449,315.502,318.391,319.532,319.513,319.245,317.764,319.001,318.145,321.372,324.152,329.77,332.112,338.631,341.435,343.936,347.033,348.888,346.4
139.544,143.137,146.721,150.086,152.744,156.432,159.262,160.393,159.233,158.418,157.107,156.338,155.991,156.9,158.07,159.135,160.458,162.407,165.262,168.623,172.386,176.451,180.725,185.354,190.296,195.62,200.892,204.032,204.33,208.772,211.486,213.887,216.304,218.144,220.694,223.687,225.438,225.386,230.657,232.785,234.121,237.157,238.557,238.813,236.344,236.329,240.178,245.451,251.841,257.327,265.187,271.378,278.887,287.596,294.596,302.919,310.871,314.939,317.852,319.104,319.138,318.962,317.555,318.854,318.03,321.274,324.064,329.657,331.991,338.521,341.315,343.719,346.766,348.747
136.519,140.121,143.62,147.127,150.39,152.991,156.584,159.367,160.434,159.277,158.459,157.145,156.291,155.999,156.927,158.106,159.182,160.534,162.489,165.359,168.71,172.419,176.433,180.711,185.357,190.248,195.249,200.419,203.471,203.786,208.328,211.258,213.912,216.576,218.713,221.279,224.25,225.867,225.862,231.081,233.029,234.184,236.785,238.221,238.467,235.965,235.943,239.787,245.042,251.457,256.943,264.777,270.956,278.308,287.018,294.022,302.358,310.322,314.413,317.43,318.724,318.848,318.74,317.393,318.72,317.917,321.174,323.94,329.523,331.87,338.384,341.087,343.439,346.609
